Year,Filename,Mismatches
2018,217.xlsx,235
2018,093.xlsx,54
2018,190.xlsx,1
2018,032.xlsx,274
2018,039.xlsx,287
2018,021.xlsx,234
2018,066.xlsx,131
2018,047.xlsx,259
2018,091.xlsx,1
2018,049.xlsx,Error
2018,204.xlsx,211
2018,119.xlsx,1
2018,169.xlsx,1
2018,113.xlsx,4
2018,023.xlsx,265
2018,212.xlsx,268
2018,061.xlsx,78
2018,020.xlsx,242
2018,075.xlsx,1
2018,087.xlsx,4
2018,055.xlsx,1
2018,126.xlsx,234
2018,082.xlsx,1
2018,118.xlsx,1
2018,148.xlsx,294
2018,027.xlsx,254
2018,067.xlsx,268
2018,034.xlsx,255
2018,010.xlsx,2
2018,095.xlsx,1
2018,152.xlsx,2
2018,037.xlsx,279
2018,048.xlsx,258
2018,149.xlsx,267
2018,005.xlsx,22
2018,099.xlsx,4
2018,109.xlsx,3
2018,170.xlsx,2
2018,159.xlsx,71
2018,158.xlsx,243
2018,052.xlsx,255
2018,195.xlsx,1
2018,073.xlsx,33
2018,098.xlsx,257
2018,105.xlsx,4
2018,202.xlsx,247
2018,110.xlsx,1
2018,201.xlsx,220
2018,182.xlsx,2
2018,181.xlsx,2
2018,003.xlsx,241
2018,008.xlsx,78
2018,029.xlsx,255
2018,206.xlsx,222
2018,178.xlsx,1
2018,033.xlsx,270
2018,197.xlsx,314
2018,214.xlsx,263
2018,198.xlsx,288
2018,143.xlsx,2
2018,018.xlsx,179
2018,180.xlsx,6
2018,022.xlsx,270
2018,100.xlsx,305
2018,094.xlsx,1
2018,133.xlsx,2
2018,161.xlsx,259
2018,124.xlsx,233
2018,002.xlsx,3
2018,199.xlsx,303
2018,168.xlsx,3
2018,064.xlsx,2
2018,194.xlsx,1
2018,017.xlsx,6
2018,038.xlsx,269
2018,205.xlsx,249
2018,220.xlsx,196
2018,088.xlsx,1
2018,040.xlsx,2
2018,213.xlsx,12
2018,011.xlsx,74
2018,001.xlsx,226
2018,043.xlsx,24
2018,090.xlsx,1
2018,219.xlsx,255
2018,175.xlsx,43
2018,012.xlsx,20
2018,030.xlsx,277
2018,172.xlsx,Error
2018,072.xlsx,1
2018,108.xlsx,2
2018,215.xlsx,303
2018,042.xlsx,2
2018,211.xlsx,254
2018,045.xlsx,1
2018,127.xlsx,247
2018,028.xlsx,232
2018,063.xlsx,1
2018,203.xlsx,238
2018,136.xlsx,1
2018,208.xlsx,284
2018,162.xlsx,197
2018,154.xlsx,1
2018,112.xlsx,1
2018,031.xlsx,298
2018,016.xlsx,142
2018,057.xlsx,1
2018,025.xlsx,266
2018,015.xlsx,84
2018,019.xlsx,208
2018,009.xlsx,233
2018,223.xlsx,2
2018,210.xlsx,244
2018,024.xlsx,262
2018,132.xlsx,112
2018,114.xlsx,1
2018,117.xlsx,1
2018,013.xlsx,269
2018,183.xlsx,1
2018,209.xlsx,288
2018,140.xlsx,1
2018,216.xlsx,249
2018,116.xlsx,2
2018,026.xlsx,243
2018,120.xlsx,237
2018,071.xlsx,1
2018,115.xlsx,235
2018,006.xlsx,169
2018,200.xlsx,243
2018,163.xlsx,3
2018,121.xlsx,210
2018,141.xlsx,246
2018,147.xlsx,270
2018,173.xlsx,219
2018,059.xlsx,1
2018,218.xlsx,271
2018,125.xlsx,254
2018,103.xlsx,2
2018,054.xlsx,1
2018,102.xlsx,Error
2018,004.xlsx,256
2018,007.xlsx,170
2018,123.xlsx,257
2018,207.xlsx,230
2018,014.xlsx,247
2018,081.xlsx,1
2018,051.xlsx,266
2018,065.xlsx,14
2018,222.xlsx,1
2018,167.xlsx,296
2018,111.xlsx,2
2018,106.xlsx,1
2018,041.xlsx,1
2018,068.xlsx,208
2018,146.xlsx,243
2018,145.xlsx,190
2018,122.xlsx,210
2018,156.xlsx,9
